Bathtub,குளியல் தொட்டி
Purple heart,கருஞ்சிவப்பு இதயம்
Video camera,காணொலி படக்கருவி
Evergreen tree,பசுமைமாறா மரம்
Stuffed flatbread,திணித்த ரொட்டி
Bed,படுக்கை
Face with head-bandage,தலையில் கட்டுப்போட்ட முகம்
Ferry,பயணப்படகு
Clown face,கோமாளி முகம்
Thought balloon,எண்ண பலூன்
Bow and arrow,வில் மற்றும் அம்பு
Doughnut,வடை வடிவ ரொட்டி
Card index,குறியீட்டு அட்டை
Peanuts,வேர்க்கடலைகள்
Telephone,தொலைபேசி
Closed mailbox with raised flag,கொடி ஏற்றிய மூடிய அஞ்சல் பெட்டி
Wastebasket,குப்பைக்கூடை
Sunglasses,கருப்புக் கண்ணாடி
Headphone,தலைப்பேசி
Seat,இருக்கை
Ringed planet,வளையமுள்ள கோள்
Nut and bolt,மரையாணியும் திருகும்
Olive,இடலை
Teddy bear,பொம்மைக் கரடி
Pig nose,பன்றி மூக்கு
Money-mouth face,பண வாய் முகம்
Curling stone,பனி நழுவல் கல்
Control knobs,கட்டுப்பாடு குமிழிகள்
Pineapple,அன்னாசி
Carp streamer,மீன் கொடி
Vertical traffic light,செங்குத்து போக்குவரத்து விளக்கு
Safety pin,ஊக்கு
Exploding head,வெடிக்கும் தலை
Rosette,ரோசா இதழ் உரு
Roasted sweet potato,வறுத்த சக்கரை வள்ளி கிழங்கு
Sled,பனிச்சறுக்கு வண்டி
Safety vest,உடற் கவசம்
Smiling cat with heart-eyes,இதய உரு கண்களுடன் புன்னகை பூனை
Notebook,குறிப்பேடு
Credit card,கடன் அட்டை
Horizontal traffic light,கிடைநிலை போக்குவரத்து விளக்கு
Panda,பாண்டா கரடி
Passenger ship,பயணக் கப்பல்
Dashing away,அவசர ஓட்டம்
Sponge,நுரைப்பஞ்சு
Two-thirty,இரண்டு முப்பது
Two-hump camel,இரண்டு திமில் ஒட்டகம்
Billed cap,அலகு குல்லாய்
Kangaroo,கங்காரு
Graduation cap,பட்டமளிப்பு குல்லாய்
Hindu temple,இந்து கோயில்
Badger,பேட்சர் மரநாய்
Hamburger,பர்கர்
Tear-off calendar,கிழிக்கும் நாள்காட்டி
Soccer ball,காற்பந்து
Fortune cookie,நல்வாய்ப்பு மாச்சில்லு
Sad but relieved face,வருத்தமான ஆனால் ஆறுதலடைந்த முகம்
Zebra,வரிக்குதிரை
Open file folder,திறந்த கோப்புறை
Bicycle,மிதிவண்டி
Snail,நத்தை
Shaved ice,பனித்தூள்
Water buffalo,எருமை
Running shoe,ஓடும் காலணி
Cat face,பூனை முகம்
Ping pong,மேடை வரிப்பந்து
Microphone,ஒலிவாங்கி
Hammer and wrench,சுத்தியலும் திருகாணிச்சாவியும்
Star,விண்மீன்
Post office,அஞ்சலகம்
Muted speaker,அடக்கிய ஒலிபெருக்கி
Yawning face,கொட்டாவி முகம்
Green apple,பச்சை ஆப்பிள்
Rat,எலி
Oncoming bus,வருகின்ற பேருந்து
Weary cat,களைத்த பூனை
Petri dish,பெத்திரிக்கிண்ணம்
Chart decreasing,இறங்கும் கட்ட வரைபடம்
Disappointed face,ஏமாந்த முகம்
Onion,வெங்காயம்
Oncoming taxi,வருகின்ற வாடகையுந்து
Hammer and pick,சுத்தியலும் கோடரியும்
Crayon,வண்ணக்கோல்
High voltage,உயர் மின்னழுத்தம்
Woman’s sandal,பெண்ணின் செருப்பு
Woozy face,குழம்பிய முகம்
Ten o’clock,நேரம் பத்து மணி
Moai,மனித உருவச் சிலை
Sun behind small cloud,மேகமும் கதிரவனும்
Face vomiting,வாந்தி முகம்
Ice cream,பனிக்குழை
Building construction,கட்டுமானம்
Fax machine,தொலைநகலி
Chocolate bar,சாக்லேட் பாளம்
Lotion bottle,குழைமம் புட்டி
Pickup truck,பிக்கப் சரக்குந்து
Tennis,வரிப்பந்தாட்டம்
Rabbit face,முயல்
Woman’s boot,பெண்ணின் பூட் காலணி
Loudly crying face,சத்தம்போடு கதறி அழும் முகம்
Koala,கோலாக்கரடி
Flamingo,பூநாரை
Butterfly,பட்டாம்பூச்சி
Zzz,தூஉஉஉக்கககம்.....
Nine-thirty,நேரம் ஒன்பதரை மணி
Snowman,பனியாள்
Musical note,இசைக்குறி
Desert,பாலைவனம்
Globe with meridians,நெடுவரைகள் போட்ட கோளம்
Shallow pan of food,தட்டும் உணவும்
Automobile,உந்து வண்டி
Alien,வேற்றுலகர்
Pizza,பிட்சா அப்பம்
Milky way,பால்வழி
Sari,புடவை
Nine o’clock,நேரம் ஒன்பது மணி
Trumpet,எக்காளம்
Diving mask,முழுக்கு முகமூடி
Notebook with decorative cover,ஒப்பனையிட்ட நூலேடு
Clapper board,தட்டும் பலகை
Taco,டாகோ
Couch and lamp,சோபாவும் விளக்கும்
Dress,ஆடை
Film projector,திரைப்பட ஒளிவீசி
Optical disk,குறுவட்டு
Love hotel,காதல் விடுதி
Kitchen knife,காய்கறிக் கத்தி
Joystick,வான்கல இயக்கி
Cat with wry smile,கோணல் சிரிப்பு பூனை
Glowing star,கண்ணைப் பறிக்கும் விண்மீன்
Twelve o’clock,நேரம் பன்னிரண்டு மணி
Badminton,இறகுப் பந்தாட்டம்
Balance scale,துலாம்
Pouting cat,கீழுதட்டைப் பிதுக்கும் பூனை
Electric plug,மின் செருகி
Bullet train,அதிவேக தொடர்வண்டி
Cow face,பசுவின் முகம்
Mantelpiece clock,கணப்பு பேழை மணினி
Black nib,கருநிற எழுதுமுனை
Hot beverage,சூடான பானம்
Sailboat,படகு
Sloth,அசமந்தி
Camel,ஒட்டகம்
Umbrella,குடை
Sun behind large cloud,கதிரவனை மறைக்கும் பெரிய மேகம்
Angry face with horns,கொம்பு வைத்திருக்கும் கோபமான முகம்
Japanese dolls,சப்பானிய பொம்மைகள்
Four o’clock,நேரம் நான்கு மணி
Shorts,குட்டைகள்
Woman’s clothes,பெண்டிர் ஆடைகள்
Heart with arrow,அம்பு குத்திய இதயம்
Confounded face,சீர்குலைந்த முகம்
Anxious face with sweat,பயத்தில் வியர்த்த முகம்
Fireworks,வாணவெடி
Monorail,ஒற்றைத் தண்டவாளத் தொடருந்து
Purse,சுருக்குப்பை
Pager,தொலை அழைப்பான்
Cold face,குளிர் முகம்
Hundred points,நூறு மதிப்பெண்கள்
Sun behind rain cloud,மழைமேகத்துக்கும் பின் கதிரவன்
Tropical fish,வெப்ப மண்டல மீன்
Cloud,மேகம்
Bookmark,நினைவுக்குறி
Broken heart,நொறுங்கிய இதயம்
Cactus,கள்ளிச்செடி
Canned food,அடைக்கப்பட்ட உணவு
Thermometer,வெப்பமானி
Derelict house,பாழடைந்த வீடு
Roller skate,உருளிச்சறுக்கி
Crossed swords,குறுக்குவாட்டில் வாள்கள்
Eagle,கழுகு
Mosquito,கொசு
Cherries,சேலாப்பழங்கள்
Triangular ruler,முக்கோண அளவு கோல்
Card index dividers,அட்டவணை அட்டைத் தடுப்புகள்
Ticket,நுழைவுச்சீட்டு
Studio microphone,படப்பிடிப்பு ஒலிவாங்கி
Crying face,அழுகின்ற முகம்
Herb,பச்சிலை
Grinning face with big eyes,சிரித்த முகம் பெரிய கண்கள்
Houses,வீடுகள்
Hole,துளை
Sleepy face,தூக்கம் அப்பிய முகம்
Straight ruler,அளவு கோல்
Telephone receiver,தொலைபேசி வாங்கி
Slightly smiling face,குறு புன்னகை முகம்
Face blowing a kiss,காற்றில் முத்தமிடும் முகம்
Jeans,வன்துணி கால்சட்டை
Face without mouth,வாயில்லா முகம்
Delivery truck,விநியோக சரக்குந்து
House,வீடு
Sparkler,மத்தாப்பு
Long drum,உயர பீப்பாய்
Pleading face,கெஞ்சும் முகம்
Tokyo tower,டோக்கியோ கோபுரம்
Mouse face,சுண்டெலி முகம்
Tomato,தக்காளி
Smiling face with horns,கொம்பு வைத்த சிரிக்கும் முகம்
Dog face,நாய் முகம்
Money with wings,இறக்கைகளுள்ள பணம்
Tulip,டுலிப் பூ
Burrito,பரிட்டோ
Grinning face,சிரித்த முகம்
Carousel horse,இராட்டினக் குதிரை
High-speed train,அதிவேகத் தொடருந்து
Soap,சவுக்காரம்
Bat,வௌவால்
Railway track,தண்டவாளம்
Satellite antenna,செயற்கைக்கோள் அலைவாங்கி
3rd place medal,மூன்றாமிடப் பதக்கம்
Six o’clock,நேரம் ஆறு மணி
T-shirt,கொசுவச் சட்டை
Blowfish,ஊதுமீன்
Drop of blood,சிறு துளி குருதி
Egg,முட்டை
Mountain cableway,மலை தொங்கூர்தி
Popcorn,சோளப்பொரி
Hear-no-evil monkey,கெட்டதைக் கேட்காத குறங்கு
Speedboat,இயந்திர விசைப்படகு
Orange book,செம்மஞ்சள் நூல்
Chart increasing,ஏறுமுக கீற்றோவியம்
Curry rice,கறிச்சோறு
Swan,அண்ணம்
Canoe,தோணி
translator-credits,"Launchpad Contributions:
  Ashok Ramachandran https://launchpad.net/~ashok-2020
  Mu Selvakumar https://launchpad.net/~vanangamudi
  SAMYNATHAN https://launchpad.net/~samynathanpec"
Crying cat,அழும் பூனை
Anchor,நங்கூரம்
Coffin,சவப்பெட்டி
Sunrise over mountains,மலைநடுவே எழும் கதிரவன்
Cyclone,கடும்புயல்
Steaming bowl,ஆவிபறக்கும் கிண்ணம்
Spiral calendar,சுருளி நாள்காட்டி
Tram,தண்டூர்தி
Butter,வெண்ணெய்
Admission tickets,அனுமதிச்சீட்டு
White flower,வெண்ணிறப் பூ
Yellow heart,மஞ்சள் நிற இதயம்
Speech balloon,பேச்சு பலூன்
Link,தொடுப்பு
Mahjong red dragon,மா-சொங் ஆட்ட சிகப்பு கடல் நாகம்
Musical score,இசைக் குறியீடு
Cookie,மாச்சில்லு
Activities,செயல்பாடுகள்
Hippopotamus,நீர்யானை
Foggy,மூடுபனி
Police car,காவலர் ஊர்தி
Smiling face,புன்னகை முகம்
Dango,டேங்கோ சோமாசி
Sun,ஞாயிறு
Sleeping face,உறங்கும் முகம்
Thread,சரடு
Motorcycle,விசை மிதிவண்டி
Hatching chick,பொரிக்கும் குஞ்சு
Oncoming automobile,வருகின்ற தானுந்து
Nerd face,புத்தகப் புழு முகம்
Bellhop bell,ஏவலாள் மணி
Pig face,பன்றி முகம்
Fire engine,தீயனைப்பு ஊர்தி
Brick,செங்கல்
Ant,எறும்பு
Ghost,பேய்
New moon,பௌர்ணமி
Manual wheelchair,கைமுறை சக்கர நாற்காலி
Floppy disk,நெகிழ்வட்டு
Department store,சிறப்பு அங்காடி
Christmas tree,கிறித்தவ திருநாள் அலங்கார மரம்
Mate,யெர்பா மேட் பானம்
Diya lamp,அகல் விளக்கு
Camera,நிழல்படக் கருவி
Compass,திசைமானி
Turtle,ஆமை
Twelve-thirty,நேரம் பன்னிரண்டரை மணி
Hourglass done,முடிந்த மணற்கடிகாரம்
Tropical drink,வெப்ப மண்டல பானம்
Pushpin,குத்திப் பொருத்தும் ஊசி
Statue of liberty,அமெரிக்க விடுதலைச் சிலை
Closed umbrella,மூடப்பட்ட குடை
Glasses,கண்ணாடிகள்
Ear of corn,சோளக்கதிர்
Teacup without handle,தேநீர் குடுவை
Melon,தர்பூசணி
Fire extinguisher,தீயனைப்பி
Magnet,காந்தம்
Dragon face,கடல் நாக முகம்
Green book,பச்சை நூல்
Parachute,வான்குடை
Speak-no-evil monkey,கெட்டதைப் பேசாதே குரங்கு
Trophy,வெற்றிக் கோப்பை
Handbag,கைப்பை
Clinking beer mugs,உரசும் பீர் குவளைகள்
Magnifying glass tilted right,வலம் சாய்ந்த பூதக்கண்ணாடி
Wind chime,காற்றுக் கிண்கிணி
Flashlight,கை மின் விளக்கு
Crystal ball,படிகப்பந்து
Crab,நண்டு
Bowl with spoon,கிண்ணத்தில் கரண்டி
Banjo,பான்சோ இசைக் கருவி
Five-thirty,ஐந்து முப்பது
Wine glass,மதுக் கோப்பை
Horse face,குதிரை முகம்
Animals,விலங்குகள்
Bacon,பன்றி இறைச்சி
Confused face,குழம்பிய முகம்
Motorized wheelchair,விசை சக்கர நாற்காலி
Hospital,மருத்துவமனை
Bear,கரடி
Scorpion,தேள்
Wolf,ஓநாய்
Smiling face with heart-eyes,புன்னகை முகம் இதயக் கண்கள்
Lollipop,குச்சி மிட்டாய்
Clipboard,பிடிப்புப்பலகை
Tiger,புலி
Smileys,புன்னகை முகம்
Motor boat,இயந்திரப் படகு
Spiral notepad,சுருள் குறிப்பேடு
Unamused face,மகிழ்ச்சியற்ற முகம்
Trackball,பற்றுருண்டை
Luggage,பயணப்பெட்டி
Microbe,நுண்ணுயிர்
Goat,ஆடு
Envelope with arrow,அம்புக்குறியிட்ட கடித உறை
Smiling face with smiling eyes,புன்னகை முகத்தில் புன்னகை கண்கள்
Waning crescent moon,தேய்பிறை
Chair,நாற்காலி
Fuel pump,எரிபொருள் இறைப்பி
Cloud with rain,மழைமுகில்
Blue heart,நீல இதயம்
Pouting face,கீழுதட்டைப் பிதுக்கும் முகம்
Socks,காலுறை
Funeral urn,பிணச்சாம்பல் கலயம்
Food,உணவு
Map of japan,சப்பானிய நிலப்படம்
Seven o’clock,ஏழு மணி
Oil drum,எண்ணெய் பீப்பாய்
Minibus,சிற்றுந்து
Running shirt,ஓடும் சட்டை
Saxophone,சக்சாஃபோன்
Sake,சாகே பானம்
Beating heart,துடிக்கும் இதயம்
Horse,குதிரை
Seedling,இளம் பயிர்
Face with monocle,ஒற்றைக் கண்ணாடி முகம்
Potato,உருளை கிழங்கு
Lying face,புளுகுணி முகம்
Smiling face with tear,ஆனந்தக் கண்ணீர் முகம்
Strawberry,செம்புற்றுப் பழம்
Woman’s hat,பெண்ணின் தொப்பி.
Pensive face,சிந்தனையில் மூழ்கிய முகம்
Printer,அச்சுப்பொறி
Briefcase,குறும் பேழை
Pound banknote,பவுண்டு பணத்தாள்
Field hockey,வளைகோற் பந்தாட்டம்
Ice,பனிக்கட்டி
Speaker medium volume,நடுத்தர ஒலியளவு ஒலிபெருக்கி
Sheaf of rice,நெற்கதிர்
Mushroom,காளான்
Shinto shrine,சின்டோ புண்ணியத்தலம்
Kiss mark,முத்த அடையாளம்
Squinting face with tongue,கண்களை இறுக்கி மூடி நாக்கை நீட்டும் முகம்
Rabbit,முயல்
Seven-thirty,ஏழு முப்பது
Kite,பட்டம்
Flat shoe,தட்டைக் காலணி
Lobster,சிங்க இறால்
Bikini,நீர் கச்சை
Military medal,இராணுவ பதக்கம்
Goblin,குட்டிச்சாத்தான்
Scarf,கழுத்துக்குட்டை
Spiral shell,சங்கு
Camera with flash,ஒளி பாய்ச்சும் படக்கருவி
Red heart,சிகப்பு இதயம்
Zipper-mouth face,பல்லிணையால் வாய் மூடிய முகம்
Goggles,பாதுகாப்புக் கண்ணாடி
Hamster,வெள்ளெலி
Fountain,ஊற்று
Pile of poo,மலம்
Kimono,கிமோனோ ஆடை
Cricket game,துடுப்பாட்டம்
Toolbox,கருவிப்பெட்டி
Gear,பல் சக்கரம்
Castle,கோட்டை
Umbrella with rain drops,மழையில் குடை
Hugging face,அணைக்கும் முகம்
Chess pawn,சதுரங்க சிப்பாய்
Fried shrimp,வறுத்த இறால்
Tent,கூடாரம்
Kaaba,மெக்கா மசூதி
Blueberries,நீலநெல்லிகள்
Two hearts,இரண்டு இதயங்கள்
Spaghetti,இத்தாலிய மாச்சேவை
Lion,அரிமா
Waffle,குழிவப்பம்
Dog,நாய்
Custard,முட்டை பால் தின்பண்டம்
Orange heart,செம்மஞ்சள் இதயம்
Axe,கோடாலி
Firecracker,வெடி
Spoon,கரண்டி
Memo,குறிப்பு
Locked with pen,பூட்டும் பேனாவும்
Dragon,கடல் நாகம்
Llama,இலாமா ஒட்டகம்
Eggplant,கத்தரிக்காய்
Deciduous tree,இலையுதிர் மரம்
2nd place medal,இரண்டாம் இட பதக்கம்
Helicopter,உலங்கூர்தி
Cat,பூனை
Lizard,பல்லி
Cooked rice,சோறு
Kissing face with smiling eyes,புன்னகைக் கண்களுடன் முத்தமிடும் முகம்
Cherry blossom,செர்ரி மலர்
Croissant,குரோசான் தின்பண்டம்
Green salad,பச்சைக்காய்கறிக் கலவை
Top hat,நெடுந்தொப்பி
Japanese post office,சப்பானிய அஞ்சல் நிலையம்
Articulated lorry,மூட்டு சரக்குந்து
Fallen leaf,உதிர்ந்த இலை
Battery,மின்கலம்
Deer,மான்
Three-thirty,மூன்று முப்பது
Mountain,மலை
Chipmunk,கோடிட்ட தரை அணில்
Eye in speech bubble,பேச்சு குமிழுக்குள் கண்
Speaker high volume,அதி ஒலியளவு ஒலிபெருக்கி
Bus stop,பேருந்து நிறுத்தம்
Rooster,சேவல்
Cooking,சமையல்
Pig,பன்றி
Smiling face with sunglasses,கறுப்புக் கண்ணாடியுடன் புன்னகை முகம்
Palm tree,பனை மரம்
Bird,பறவை
Heart suit,இதயம்
Eight-thirty,எட்டு முப்பது
Skull,மண்டையோடு
Circus tent,வேடிக்கை விளையாட்டு கூடாரம்
Tired face,களைத்த முகம்
Balloon,பலூன்
Thinking face,சிந்திக்கும் முகம்
Chicken,கோழிக்குஞ்சு
Money bag,பணப்பை
Red paper lantern,சிகப்பு காகிதக் கூண்டு விளக்கு
Ox,எருது
Cowboy hat face,மாடுமேய்ப்பவன் தொப்பி முகம்
Love letter,காதல் கடிதம்
Desktop computer,மேசைக் கணினி
Dolphin,ஒவாய் கடற்பன்றி
Black cat,கறுப்பு பூனை
Receipt,கட்டணச் சீட்டு
Tangerine,இனிப்பு நாரத்தைப் பழம்
Spouting whale,நீர்ப்பீச்சும் திமிங்கிலம்
Guide dog,வழிகாட்டி நாய்
Ambulance,மருத்துவ ஊர்தி
Grinning face with sweat,வியர்வையுடன் சிரித்த முகம்
Sport utility vehicle,மகிழுந்து
Euro banknote,யூரோ பணத்தாள்
Ballet shoes,பாலே நடனக் காலணிகள்
Beach with umbrella,கடற்கரையில் குடை
Crown,கிரீடம்
Shower,பொழிவு குளியல்
Timer clock,காலங்குறி கடிகாரம்
Rice cracker,அரிசிப்பொரி மாச்சில்லு
Leopard,சிறுத்தை
Drooling face,எச்சில் வடியும் முகம்
Pretzel,பிரெட்சல் ரொட்டி
Motor scooter,துள்ளுந்து
Joker,கோமாளி
Tanabata tree,தனபாட்டா திருவிழா மரம்
Roll of paper,காகிதச் சுருள்
Locked,பூட்டியது
Cocktail glass,கலவை பானக் கோப்பை
Grinning cat,சிரிக்கும் பூனை
Collision,மோதல்
Tamale,டமாலே உணவு
Clamp,கிடுக்கி
White cane,வெள்ளை கைத்தடி
Linked paperclips,இணைத்த காகிதப் பற்றிகள்
Prayer beads,உருத்திராட்ச மாலை
National park,நாட்டுப் பூங்கா
Briefs,உள்ளாடை
Grimacing face,சுளிக்கும் முகம்
