Bathtub,குளியல் தொட்டி
Thong sandal,வார்ச்செருப்பு
Lab coat,ஆய்வக மேல் அங்கி
Fountain pen,மையூற்றுப் பேனா
Frowning face with open mouth,சுருக்கிய நெற்றி திறந்த வாய் முகம்
Honey pot,தேன் குவளை
Hot springs,வெப்ப நீரூற்று
Kissing face with closed eyes,கண்களை மூடி முத்தமிடும் முகம்
Ewe,பெண் செம்மறியாடு
Magnifying glass tilted left,இடதுபுறம் திரும்பிய பூதக்கண்ணாடி
American football,அமெரிக்க கால்பந்து
Alarm clock,எழுப்பு கடிகாரம்
Elephant,யானை
Face with raised eyebrow,புருவம் உயர்த்திய முகம்
Framed picture,சட்டம் போட்ட படம்
Shark,சுறா
Cow,பசு
Cut of meat,இறைச்சி
Mouse,சுண்டெலி
Leaf fluttering in wind,காற்றில் ஆடும் இலை
Black heart,கறுப்பு இதயம்
Broccoli,பச்சை பூக்கோசு
Octopus,சிலந்திமீன்
Anger symbol,கோபக் குறியீடு
Computer mouse,சுட்டி
Fish,மீன்
Confetti ball,வண்ணக் காகிதத் துண்டுகள் பந்து
Chopsticks,சீனர் உணவுக் குச்சிகள்
Yarn,சரடு
Wind face,காற்று ஊதும் முகம்
Pistol,கைத்துப்பாக்கி
Peacock,மயில்
Alien monster,வேற்றுலக பயங்கர உருவம்
White heart,வெள்ளை இதய
Flatbread,தட்டை ரொட்டி
Wrapped gift,பொதியப்பட்ட பரிசு
One-thirty,ஒன்று முப்பது
Mountain railway,மலைத் தொடருந்து
Cloud with lightning and rain,மின்னல் மழையுடன் மேகம்
Blue book,நீல நூல்
Artist palette,ஓவியர் வண்ணத்தட்டு
Candy,மிட்டாய்
Growing heart,வளரும் இதயம்
Flag in hole,குழிப்பந்தாட்டக் கொடி
Open mailbox with raised flag,கொடி ஏற்றிய திறந்த அஞ்சல் பெட்டி
Factory,தொழிற்சாலை
Scroll,ஓலைச் சுருள்
Ice hockey,பனிக்கள வளைகோற் பந்தாட்டம்
Banana,வாழைப்பழம்
Paw prints,நாய் அல்லது பூனை அடிச்சுவடு
Motorway,நெடுஞ்சாலை
Smirking face,ஏளனப் புன்னகை முகம்
Oyster,சிப்பி
Yo-yo,கயிற்றில் ஏறி இறங்கும் பம்பரம்
Glass of milk,குவளையில் பால்
Star-struck,புகழ்பெற்றவரின் விசிறி
Winking face with tongue,கண்ண்டித்து நாக்கை நீட்டும் முகம்
Dna,அனடி
Unlocked,திறந்த பூட்டு
Stadium,விளையாட்டரங்கம்
French fries,ஃபிரெஞ்சு உருளை பொரியல்
Alembic,வடிகலம்
Shushing face,அமைதி காக்க சைகை காட்டும் முகம்
Relieved face,நிம்மதியான முகம்
Waxing crescent moon,வளர்பிறை
Poodle,சடை நாய்
Lemon,எலுமிச்சை
Laptop,மடிக்கணினி
Bagel,பேகல் ரொட்டி
Baseball,அடிப்பந்தாட்டம்
Left speech bubble,இடதுபுறம் பேச்சுக் குமிழ்
Puzzle piece,புதிர் பாகம்
Pick,கோடரி
Fire,தீ
Sparkles,தீப்பொறிகள்
Slot machine,காசு பொட்டு சூதாடும் பொறி
Takeout box,உணவு கட்டும் அட்டைப்பெட்டி
Lipstick,உதட்டுச்சாயம்
Metro,பாதாள இரயில்
Satellite,செயற்கைகோள்
Wrench,திருகாணிச்சாவி
Slightly frowning face,சிறிது சுளிக்கும் முகம்
Frowning face,சுளிக்கும் முகம்
Desert island,ஆளில்லாத் தீவு
Poultry leg,கோழிக்கால்
One-piece swimsuit,நீச்சல் உடை
Beverage box,அட்டைப்பெட்டி பானம்
Four-thirty,நான்கு முப்பது
Brown heart,பழுப்பு இதயம்
Pancakes,மைதா தோசைகள்
Gloves,கையுறை
Broom,துடைப்பம்
Otter,நீர் நாய்
Books,நூல்கள்
Auto rickshaw,தானி மூவுருளி உந்து
Snow-capped mountain,பனி படர்ந்த மலை
Dizzy face,தலை சுற்றும் முகம்
Five o’clock,ஐந்து மணி
See-no-evil monkey,கெட்டதைப் பார்க்காதே குரங்கு
Meat on bone,எலும்பு மேல் இறைச்சி
Anguished face,வேதனையான முகம்
Pie,நிரப்பி வாட்டிய உணவு
Rocket,ஏவூர்தி
Cucumber,வெள்ளரி
Microscope,நுண்ணோக்கி
Face with symbols on mouth,வாயில் குறியீடுகள் உள்ள முகம்
Ten-thirty,பத்து முப்பது
Coat,மேல் அங்கி
Frog,தவளை
Mobile phone with arrow,கைபேசியுடன் அம்புக்குறி
Scissors,கத்திரிக்கோல்
Videocassette,காணொலிப்பேழை
Heart exclamation,இதயம் போட்ட வியப்புக் குறி
Sun with face,முகமுள்ள கதிரவன்
Ballot box with ballot,வாக்குப் பெட்டியும் வாக்கும்
Cigarette,வெண்சுருட்டு
Postbox,அஞ்சல் பெட்டி
Snake,பாம்பு
Red envelope,சிகப்பு கடித உறை
Station,தொடர்வண்டி நிலையம்.
Toothbrush,பல்துலக்கி
Airplane arrival,வானூர்தி வருகை
File folder,கோப்புறை
Outbox tray,மடல் புறப்பெட்டி
Turkey,வான்கோழி
Paperclip,காகிதப் பற்றி
Maple leaf,காகிதப் பற்றி
Full moon face,முழுநிலவு முகம்
Red apple,சிகப்பு ஆப்பிள்
Tiger face,புலி முகம்
Ring,மோதிரம்
Mount fuji,பனி மூடிய மலை
Shrimp,இறால்
Eleven o’clock,பதினோறு மணி
Game die,பகடைக் காய்
Sneezing face,தும்மும் முகம்
Polar bear,பனிக்கரடி
Trolleybus,துரொல்லி பேருந்து
Moon viewing ceremony,சப்பானிய நிலா பார்க்கும் விழா
Label,சிட்டை
Cup with straw,கோப்பையில் உறிஞ்சு குழாய்
Chains,சங்கிலிகள்
Kick scooter,உந்து வண்டி
Orangutan,வாலில்லாக் குரங்கு
Giraffe,ஒட்டகசிவிங்கி
Mosque,பள்ளிவாசல்
Plunger,கழிவறை தள்ளி
Amphora,கைப்பிடி மட்கலன்
Musical notes,இசைச்சுரங்கள்
Nesting dolls,பொம்மைக்குள் பொம்மை
Cloud with snow,பனி பொழியும் மேகம்
Clinking glasses,உரசும் குவளைகள்
Monkey,குரங்கு
Shortcake,உதிர் அப்பம்
Upside-down face,தலைகீழ் முகம்
Umbrella on ground,மண்ணில் குத்திய குடை
Droplet,சிறுதுளி
Newspaper,செய்தித்தாள்
Chestnut,கஷ்கொட்டை
School,பள்ளி
Stopwatch,நிறுத்துகடிகாரம்
Dumpling,கொழுக்கட்டை
Cityscape,நகர வானப்பின்னணி
Light rail,இலகு தொடருந்து
Birthday cake,பிறந்த நாள் கேக்
Full moon,முழுநிலவு
Martial arts uniform,தற்காப்புக் கலை உடை
Skull and crossbones,மண்டையோடும் குறுக்கு எலும்புகளும்
Airplane,வானூர்தி
Kissing face,முத்தமிடும் முகம்
Shopping cart,சாமான் வாங்கும் வண்டி
E-mail,மின்னஞ்சல்
Hammer,சுத்தியல்
Bottle with popping cork,புட்டியிலிருந்து பறக்கும் தக்கை
Megaphone,ஒலி பெருக்கி
Performing arts,நிகழ்கலை
Fork and knife,முட்கரண்டியும் கத்தியும்
Police car light,காவல் துறை வண்டி விளக்கு
Train,தொடருந்து
Sun behind cloud,மேகத்தின் பின் கதிரவன்
Bell with slash,மணி ஒலியடக்கம்
Bell,மணி
Bar chart,பட்டை விளக்கப் படம்
Heart with ribbon,நாடாவுடன் இதய வடிவ பரிசுப்பெட்டி
Fish cake with swirl,சுழிப்பு போட்ட சப்பானிய மீன் கேக்
Green heart,பச்சை இதயம்
Roller coaster,உருளைக் கூட்டை
Party popper,வண்ணக் காகிதங்கள் சிதறும் விழாப் பெட்டி
Necktie,கழுத்துப் பட்டை
Snowman without snow,பனி இல்லாத பனிமனிதன்
Pen,பேனா
Bomb,வெடி குண்டு
Softball,மெதுப்பந்து
Fox,நரி
Kissing cat,முத்தமிடும் பூனை
Nauseated face,குமட்டும் முகம்
Postal horn,அஞ்சல் ஊதுகொம்பு
Card file box,கோப்புப் பெட்டி
Convenience store,பலசரக்குக் கடை
Rose,ரோஜா
Radio,வானொலி
Dvd,டிவிடி
Squid,கடற்கணை
Disguised face,மாறுவேடமிட்ட முகம்
Clutch bag,மகளிர் கைப்பை
Oden,கம்பி சுட்ட உணவு
Yen banknote,சப்பானிய யென் பணத்தாள்
Watch,கைக்கடிகாரம்
Sauropod,சௌரோபாட் தொன்மா
Smiling face with halo,ஒளிவளையமுள்ள புன்னகை முகம்
Face screaming in fear,பயத்தில் அலறும் முகம்
Bookmark tabs,நூற்குறி தத்தல்கள்
Incoming envelope,உள்வரும் கடித உறை
Railway car,இருப்பு வழி வண்டி
Winking face,கண் சிமிட்டும் முகம்
Bridge at night,இரவில் பாலம்
Hushed face,வியப்படைந்த முகம்
Ram,செம்மறிக் கிடா
Hourglass not done,முடிவடையாத மணற்கடிகாரம்
Right anger bubble,வலதுபுறம் கோபக் குமிழி
Baguette bread,பேகெட் ரொட்டி
Baby bottle,குழந்தை புட்டி
Robot,எந்திரன்
Rice ball,சப்பானிய சோற்றுப் பந்து
Page facing up,காகிதப் பக்கம்
Face with tongue,நாக்கை நீட்டும் முகம்
Ledger,சுருள்கட்டிய பதிவேடு
Bread,ரொட்டி
Volcano,எரிமலை
Face with tears of joy,ஆனந்தக் கண்ணீர் முகம்
Bouquet,பூச்செண்டு
Club suit,கிளாவர்
Zany face,கேலிக்கூத்து முகம்
Direct hit,இலக்கு மையத்தில் அம்பு
Skunk,துர்நாற்றம் பரப்பும் விலங்கு
Goal net,பந்தாட்டக் குறியிலக்கு வலை
Downcast face with sweat,வியர்வையுடன் வாட்டமுற்ற முகம்
T-rex,டி-ரெக்ஸ் தொன்மா
Hot dog,தொத்திறைச்சி இடையீட்டு ரொட்டி
Synagogue,யூதர் தொழுகைக் கூடம்
Fork and knife with plate,தட்டுடன் முட்கரண்டியும் கத்தியும்
Three o’clock,மூன்று மணி
Light bulb,மின்விளக்கு
Church,தேவாலயம்
File cabinet,கோப்பு இழுப்பறைப் பெட்டி
Skateboard,சறுக்குப் பலகை
Ferris wheel,இராட்டினம்
Spider,சிலந்தி
Grinning cat with smiling eyes,புன்னகைக் கண்களுடன் சிரிக்கும் பூனை
Office building,அலுவலகக் கட்டடம்
Night with stars,விண்மீன்கள் நிறைந்த வானம்
Waning gibbous moon,தேயும் குமிழ் மதி
Comet,வால் மீன்
Airplane departure,வானூர்தி புறப்பாடு
Gem stone,ஆபரணக்கல்
Spade suit,இஸ்பேட்
Flying saucer,பறக்கும் தட்டு
Open mailbox with lowered flag,கொடி இறக்கிய திறந்த அஞ்சல் பெட்டி
Watermelon,தர்ப்பூசணிப் பழம்
Mobile phone,கைபேசி
Ribbon,நாடா
Television,தொலைக்காட்சி
Computer disk,குறுவட்டு
Locomotive,தொடருந்து பொறி
Abacus,மணிச்சட்டம்
Hiking boot,நடைபயணக் காலணி
Persevering face,விடாமுயற்சி முகம்
Duck,வாத்து
Pool 8 ball,மேசைக்கோல் பந்து எண் 8
Speaker low volume,குறை ஒலியளவு ஒலிபெருக்கி
Hotel,தங்கும் விடுதி
Bank,வங்கி
Shooting star,எரிகல்
Lady beetle,லேடி வண்டு
Drum,முரசு
Fly,ஈ.
Stop sign,நிறுத்தக் குறி
Monkey face,குரங்கு முகம்
Ogre,அரக்கன்
Shield,கேடயம்
Snowflake,பனிச் செதில்
Blossom,மலர்
Boar,காட்டுப்பன்றி
Waxing gibbous moon,வளரும் குமிழ் மதி
Pill,மாத்திரை
Globe showing europe-africa,ஐரோப்பா ஆப்பிரிக்கா காட்டும் கோள்
Loudspeaker,ஒலிபெருக்கி
Video game,கணியாட்டம்
Dagger,குத்துவாள்
Guitar,கிதார்
Angry face,கோபமான முகம்
Closed mailbox with lowered flag,கொடி இறக்கிய மூடிய அஞ்சல் பெட்டி
Tumbler glass,கண்ணாடிக் குவளை
Rolled-up newspaper,சுருட்டிய செய்தித்தாள்
Face with hand over mouth,வாயைக் கையால் மூடிய முகம்
Leafy green,பச்சைக் கீரை
Dove,சமாதானப் புறா
Flower playing cards,படம்போட்ட சீட்டுகள்
Mango,மாம்பழம்
Face with medical mask,மருத்துவ முகக்கவசம் அணிந்த முகம்
Worm,புழு
Globe showing asia-australia,ஆசியா ஆஸ்திரேலியா காட்டும் கோள்
Face savoring food,ருசியான உணவை சுவைக்கும் முகம்
Envelope,கடித உறை
Tram car,டிராம் வண்டி
Bowling,பத்து கட்டை பந்து உருட்டு
Oncoming police car,வரும் காவல் துறை வண்டி
Dizzy,தலை சுற்றும் முகம்
Cheese wedge,பாலாடைக்கட்டித் துண்டு
Honeybee,தேனீ
Razor,சவரக் கத்தி
Travel,பயணம்
Grinning squinting face,கண்களைக் குறுக்கி சிரிக்கும் முகம்
Racing car,பந்தய கார்
Stethoscope,நாடிமானி
Round pushpin,உருண்டை குத்திப் பொருத்தும் ஊசி
Calendar,நாட்காட்டி
Dollar banknote,டாலர் பணத்தாள்
Old key,பழங்கால சாவி
Nazar amulet,துருக்கிய கண் தாயத்து
Garlic,பூண்டு
Penguin,பென்குயின்
Syringe,மருந்தூசி
Japanese castle,சப்பானிய கோட்டை
Cloud with lightning,மின்னலுடன் மேகம்
Four leaf clover,குளோவர் நான்கு இதழ்
Owl,ஆந்தை
Bus,பேருந்து
Rescue worker’s helmet,வெள்ளை குறுக்கு கோடு போட்ட தலைக்கவசம்
Cricket,வெட்டுக்கிளி
Heart decoration,அலங்கார இதய வடிவம்
Face with steam from nose,மூக்கிலிருந்து ஆவி வரும் முகம்
Door,கதவு
Basketball,கூடைப்பந்து
Neutral face,நடுநிலை
New moon face,அமாவாசை முகம்
Water wave,நீரலை
Pencil,கரிக்கோல்
Avocado,வெண்ணைப் பழம்
Rolling on the floor laughing,தரையில் புரண்டு சிரித்தல்
Fog,மூடுபனி
Pear,பேரி
Sandwich,இடையீட்டு ரொட்டி
Adhesive bandage,மருந்தொட்டி
Piñata,குழந்தைகள் உறியடி
Tornado,சூறாவளி
Eleven-thirty,பதினொன்று முப்பது
Jack-o-lantern,குடைந்த பரங்கி விளக்கு
Ship,கப்பல்
Face with open mouth,வாயைப் பிளந்த முகம்
Beer mug,பீர் குவளை
Cupcake,கோப்பை கேக்
Package,பொதி
Basket,கூடை
Page with curl,சுருண்ட காகிதப் பக்கம்
Salt,உப்பு
Two o’clock,இரண்டு மணி
First quarter moon,முதல் பாதி பிறைமதி
Sparkling heart,மினுக்கும் இதயம்
Small airplane,சிறிய வானூர்தி
Suspension railway,தொங்கு தொடருந்து
Movie camera,திரைப்படக்கருவி
Open book,திறந்த நூல்
Backpack,முதுகுப்பை
Taxi,வாடகையுந்து
Skis,பனிச்சறுக்கு
Barber pole,சவரக் கடை அடையாளம்
Volleyball,கைப்பந்து
Keyboard,விசைப்பலகை
Coconut,தேங்காய்
Sunrise,கதிரவன் உதயம்
Revolving hearts,ஒன்றையொன்று சுற்றும் இதயங்கள்
Telescope,தொலைநோக்கி
Musical keyboard,இசைக்கருவி
Rugby football,அஞ்சல்பந்து
Cityscape at dusk,அந்தியில் நகர வானப்பின்னணி
Violin,வயலின்
Closed book,மூடிய நூல்
Wedding,திருமணம்
Unicorn,கொம்புக் குதிரை
Shopping bags,கடை சாமான் பைகள்
Smiling face with hearts,புன்னகை முகம் இதயங்களுடன்
High-heeled shoe,குதி உயர் காலணி
Face with thermometer,வெப்பமானி வாயில் வைத்த முகம்
Test tube,சோதனைக்குழாய்
Diamond suit,டைமன்
Crescent moon,பிறைமதி
Shamrock,அயர்லாந்து நாட்டு அடையாள இலை
Baby chick,கோழிக்குஞ்சு
Construction,கட்டுமானம்
Moon cake,சீன நிலா கேக்
Hibiscus,செம்பருத்தி
Raccoon,கீரிப்பிள்ளை
House with garden,வீடும் தோட்டமும்
Grinning face with smiling eyes,சிரித்த முகம் புன்னகை கண்கள்
Boxing glove,குத்துச்சண்டை கையுறை
Whale,திமிங்கிலம்
Locked with key,பூட்டிய பூட்டும் சாவியும்
Globe showing americas,அமெரிக்காவைக் காட்டும் கோள்
Candle,மெழுகுவர்த்தி
Man’s shoe,ஆணின் சப்பாத்து
Spider web,சிலந்தி வலை
Hedgehog,முள்ளெலி
Objects,பொருட்கள்
Face with rolling eyes,உருளும் கண்களுடன் முகம்
Fearful face,பயந்த முகம்
Expressionless face,வெளிப்பாடற்ற முகம்
Key,சாவி
Beaming face with smiling eyes,புன்னகைக் கணகளுடன் ஒளிரும் முகம்
Sunflower,சூரியகாந்தி
Last quarter moon face,கடைசி பாதி பிறைமதியில் முகம்
Magic wand,மந்திரக்கோல்
Sweat droplets,வியர்வைத் துளிகள்
Rhinoceros,காண்டாமிருகம்
Pine decoration,சப்பானியப் புத்தாண்டு  தேவதாரு அலங்காரம்
Pot of food,கிண்ணம் நிறைய உணவு
Hot pepper,உறைப்பு மிளகாய்
Kiwi fruit,கிவி பழம்
Peach,குழிப்பேரி
Hot face,சூடான முகம்
One o’clock,ஒரு மணி
Carrot,மஞ்சள் முள்ளங்கி
Crocodile,முதலை
Paintbrush,வண்ணத் தூரிகை
Six-thirty,ஆறு முப்பது
Gorilla,மனிதக்குரங்கு
Camping,முகாம்
Classical building,பாரம்பரிய கட்டடம்
Front-facing baby chick,கோழிக்குஞ்சு முன்பக்கம்
Bug,பூச்சி
Astonished face,திகைத்த முகம்
Aerial tramway,மேனிலை டிராம்
Sunset,கதிரவன் மறைவு
Flying disc,பறக்கும் தட்டு
Rainbow,வானவில்
Partying face,கொண்டாடும் முகம்
Cat with tears of joy,ஆனந்தக் கண்ணீர் விடும் பூனை
Grapes,திராட்சை
Service dog,மாற்றுத் திறனாளிகள் சேவை நாய்
First quarter moon face,முதல் பாதி பிறைமதியில் முகம்
Inbox tray,மடல் அகப்பெட்டி
Weary face,சோர்வான முகம்
Lacrosse,வளைகோல் பந்தாட்டம்
Ice skate,பனிச்சறுக்கு நடனம்
Sports medal,விளையாட்டுப் பதக்கம்
Level slider,ஒலி சமன்படுத்தி வழுக்கி
Bento box,மதிய உணவுப் பெட்டி
Soft ice cream,கூம்பு பனிக்குழைவு
Eight o’clock,எட்டு மணி
Worried face,கவலையான முகம்
Reminder ribbon,நினைவூட்டல் நாடா
Toilet,கழிவறை
Flushed face,சங்கடப்படும் முகம்
Tractor,ஏருந்து
World map,உலக நிலப்படம்
Film frames,திரைப்பட சட்டகங்கள்
Wilted flower,வாடிய மலர்
1st place medal,முதலிடப் பதக்கம்
Parrot,கிளி
Falafel,ஃபலாஃபெல்
Last quarter moon,கடைசி பாதி பிறைமதி
Sushi,சுஷி
Fishing pole,தூண்டில்
Chart increasing with yen,யென் குறியீடிட்ட ஏறும் கட்டப்படம்
